test_donor,seed,variant,n_test,n_known_test,n_unknown_test,accuracy,weighted_f1,macro_f1,balanced_accuracy
P5,43,rna_branch,21811,21811,0,0.8928063821007748,0.8932674995716513,0.7759076376126557,0.8071485486372048
P5,43,adt_branch,21811,21811,0,0.8407684196047865,0.8384111738560398,0.6623473076963269,0.6862179679897187
P5,43,fusion_branch,21811,21811,0,0.9057814864059419,0.9047917029766219,0.8152628435524276,0.8390115118017311
P5,43,uniform_fusion,21811,21811,0,0.9098619962404292,0.9088590783859992,0.8254909734080872,0.8387635755809576
P5,43,margin_gate,21811,21811,0,0.9088074824629774,0.9076231994453161,0.8248386583229359,0.8387981298360995
P5,43,margin_gate_hsr,21811,21811,0,0.9087157856127642,0.9075548020851638,0.8230933845428458,0.8355639029222125
P6,41,rna_branch,20742,20742,0,0.8869443640921801,0.8834286626806186,0.7442949103199497,0.752147421950151
P6,41,adt_branch,20742,20742,0,0.8179539099411821,0.8162545875630335,0.6572486068331761,0.694952747486398
P6,41,fusion_branch,20742,20742,0,0.9083984186674381,0.9057878349518742,0.8049815836436546,0.8125010152991782
P6,41,uniform_fusion,20742,20742,0,0.9097965480667245,0.9070070740100246,0.8021116628666488,0.8030653689409509
P6,41,margin_gate,20742,20742,0,0.908350207308842,0.9054962052373082,0.7985901196858645,0.7998579448197257
P6,41,margin_gate_hsr,20742,20742,0,0.9086394754604185,0.9057352030768951,0.8017059079841766,0.7996816073604462
P6,42,rna_branch,20742,20742,0,0.8898852569665413,0.8862685637665499,0.7443240133863542,0.7469662100550287
P6,42,adt_branch,20742,20742,0,0.8052261112718156,0.810235100594688,0.6633221533273154,0.6906863043465407
P6,42,fusion_branch,20742,20742,0,0.9057950053032494,0.9038668382291497,0.7976837144557871,0.7917584991882026
P6,42,uniform_fusion,20742,20742,0,0.9076752482884968,0.9054260699181322,0.8002203368339538,0.7932531077195065
P6,42,margin_gate,20742,20742,0,0.907241346061132,0.905142110886489,0.7983596316437146,0.7901173717078942
P6,42,margin_gate_hsr,20742,20742,0,0.9069038665509594,0.9046958568366725,0.781618937564248,0.7745458217140031
P6,43,rna_branch,20742,20742,0,0.8931636293510751,0.8887864286738539,0.7410547499009594,0.7414202122548545
P6,43,adt_branch,20742,20742,0,0.8215215504772925,0.8211570767881127,0.6873881440884249,0.7039397699749951
P6,43,fusion_branch,20742,20742,0,0.9103268730112815,0.9068339109331331,0.8008973673701919,0.7986284768228865
P6,43,uniform_fusion,20742,20742,0,0.9111464661074149,0.907508306529976,0.805425441444404,0.7984274751803373
P6,43,margin_gate,20742,20742,0,0.910037604859705,0.906261918090605,0.7896605052947185,0.7858939494013018
P6,43,margin_gate_hsr,20742,20742,0,0.910037604859705,0.9062282487213874,0.7896334694724966,0.7855899987852698
P7,41,rna_branch,25871,25871,0,0.9012021182018476,0.9002401659655055,0.7435360221035496,0.7468574617967586
P7,41,adt_branch,25871,25871,0,0.8272196668083955,0.8278265442078858,0.6520015423699989,0.657080674966852
P7,41,fusion_branch,25871,25871,0,0.9156971125971165,0.9153646522149613,0.8057201838557717,0.8101240339775873
P7,41,uniform_fusion,25871,25871,0,0.9206060840323141,0.9198103572242814,0.8130186587387194,0.8108973389355634
P7,41,margin_gate,25871,25871,0,0.9198330176645665,0.9189639569328748,0.8048127501111954,0.802998688255236
P7,41,margin_gate_hsr,25871,25871,0,0.9194464844806927,0.9185873551531232,0.8033932853658062,0.8016970559959812
P7,42,rna_branch,25871,25871,0,0.8955200803989023,0.8945488834457623,0.7603897301946263,0.7523498707017511
P7,42,adt_branch,25871,25871,0,0.8422944609794751,0.8397076008949,0.6984127545395554,0.7062415063785965
