test_donor,seed,score,score_label,coverage,risk
P7,42,combined_logistic_lodo,Combined LODO,0.7,0.021701916174277983
P7,42,combined_logistic_lodo,Combined LODO,0.8,0.034547738693467334
P7,42,combined_logistic_lodo,Combined LODO,0.9,0.05394493836704892
P7,42,combined_logistic_lodo,Combined LODO,0.95,0.06481669853928469
P7,42,branch_disagreement,Top-label conflict,0.5,0.037649787398531115
P7,42,branch_disagreement,Top-label conflict,0.6,0.03697977064811236
P7,42,branch_disagreement,Top-label conflict,0.7,0.037771273952178476
P7,42,branch_disagreement,Top-label conflict,0.8,0.038171627367607264
P7,42,branch_disagreement,Top-label conflict,0.9,0.05905596357857664
P7,42,branch_disagreement,Top-label conflict,0.95,0.07022826219636245
P7,43,final_uncertainty,Final uncertainty,0.5,0.04808658678005412
P7,43,final_uncertainty,Final uncertainty,0.6,0.05102435253189022
P7,43,final_uncertainty,Final uncertainty,0.7,0.04726931360097189
P7,43,final_uncertainty,Final uncertainty,0.8,0.04377657518361036
P7,43,final_uncertainty,Final uncertainty,0.9,0.04647167461237813
P7,43,final_uncertainty,Final uncertainty,0.95,0.06184644179517435
P7,43,combined_logistic_lodo,Combined LODO,0.5,0.01515268650947043
P7,43,combined_logistic_lodo,Combined LODO,0.6,0.015204226259502641
P7,43,combined_logistic_lodo,Combined LODO,0.7,0.020376608316306808
P7,43,combined_logistic_lodo,Combined LODO,0.8,0.03329145728643216
P7,43,combined_logistic_lodo,Combined LODO,0.9,0.05106730232358373
P7,43,combined_logistic_lodo,Combined LODO,0.95,0.06428774870814176
P7,43,branch_disagreement,Top-label conflict,0.5,0.03656745264785466
P7,43,branch_disagreement,Top-label conflict,0.6,0.036399948460249965
P7,43,branch_disagreement,Top-label conflict,0.7,0.0362250814512121
P7,43,branch_disagreement,Top-label conflict,0.8,0.036818708929261694
P7,43,branch_disagreement,Top-label conflict,0.9,0.05905596357857664
P7,43,branch_disagreement,Top-label conflict,0.95,0.06965862391667006
P8,41,final_uncertainty,Final uncertainty,0.5,0.06064761904761905
P8,41,final_uncertainty,Final uncertainty,0.6,0.05873015873015873
P8,41,final_uncertainty,Final uncertainty,0.7,0.0614421768707483
P8,41,final_uncertainty,Final uncertainty,0.8,0.058095238095238096
P8,41,final_uncertainty,Final uncertainty,0.9,0.05591534391534392
P8,41,final_uncertainty,Final uncertainty,0.95,0.07041745197898705
P8,41,combined_logistic_lodo,Combined LODO,0.5,0.015161904761904762
P8,41,combined_logistic_lodo,Combined LODO,0.6,0.014095238095238095
P8,41,combined_logistic_lodo,Combined LODO,0.7,0.017959183673469388
P8,41,combined_logistic_lodo,Combined LODO,0.8,0.03519047619047619
P8,41,combined_logistic_lodo,Combined LODO,0.9,0.05807407407407408
P8,41,combined_logistic_lodo,Combined LODO,0.95,0.07202149416529655
P8,41,branch_disagreement,Top-label conflict,0.5,0.03512380952380952
P8,41,branch_disagreement,Top-label conflict,0.6,0.035682539682539684
P8,41,branch_disagreement,Top-label conflict,0.7,0.03510204081632653
P8,41,branch_disagreement,Top-label conflict,0.8,0.035476190476190474
P8,41,branch_disagreement,Top-label conflict,0.9,0.06383068783068784
P8,41,branch_disagreement,Top-label conflict,0.95,0.07663311545093636
P8,42,final_uncertainty,Final uncertainty,0.5,0.07070476190476191
P8,42,final_uncertainty,Final uncertainty,0.6,0.07066666666666667
P8,42,final_uncertainty,Final uncertainty,0.7,0.07341496598639456
P8,42,final_uncertainty,Final uncertainty,0.8,0.06728571428571428
