method,class_label,n_observed_donors,mean_f1,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor,worst_donor_f1,total_test_support
inference::fusion_branch,HSPC,8,0.9841196820701081,0.017821830744074375,0.9692202587099886,0.9990191054302276,0.014899423360119561,P7,0.9473684210526315,329
inference::fusion_branch,ILC,8,0.9350998847507974,0.05919468111522389,0.8856118929014616,0.9845878766001332,0.04948799184933582,P4,0.8222222222222223,132
inference::fusion_branch,MAIT,8,0.9592963949236989,0.030518151488596823,0.9337825817960519,0.9848102080513459,0.025513813127646966,P1,0.9120816789563245,2784
inference::fusion_branch,NK Proliferating,8,0.8883810836897241,0.045238890953703766,0.8505604243904192,0.926201742989029,0.03782065929930495,P7,0.806609087713488,548
inference::fusion_branch,NK_1,8,0.6557214036825272,0.26151978346715915,0.4370853933377675,0.8743574140272868,0.21863601034475966,P3,0.30215145639576274,4126
inference::fusion_branch,NK_2,8,0.904329002101012,0.017934989481312322,0.8893349756691196,0.9193230285329044,0.01499402643189238,P7,0.8713356181268148,9418
inference::fusion_branch,NK_3,8,0.6017519451217133,0.10134578035294874,0.5170247524486299,0.6864791377947966,0.08472719267308339,P3,0.4743226839481665,2152
inference::fusion_branch,NK_4,8,0.6972417118407233,0.03404577364232176,0.6687787327896842,0.7257046908917623,0.028462979051039,P2,0.6422706854119055,1477
inference::fusion_branch,NK_CD56bright,8,0.8808879586192284,0.052095753693460166,0.837334818614156,0.9244410986243008,0.043553140005072426,P4,0.7666666666666666,943
inference::fusion_branch,Plasma,8,0.9828936908345945,0.013491427166794525,0.9716145754632893,0.9941728062058998,0.011279115371305265,P2,0.9587213415827426,318
inference::fusion_branch,Plasmablast,7,0.9530050624035586,0.049514014483682,0.9072122366702081,0.9987978881369092,0.04579282573335048,P7,0.8696581196581197,48
inference::fusion_branch,Platelet,8,0.9395658933280646,0.04018791714537017,0.9059679538060901,0.9731638328500392,0.03359793952197457,P2,0.8504165348518401,2293
inference::fusion_branch,Treg Memory,8,0.8082788342356152,0.04014579281716268,0.774716111533323,0.8418415569379074,0.03356272270229218,P3,0.7476500967931893,1212
inference::fusion_branch,Treg Naive,8,0.7495439126863981,0.08667670259965327,0.6770803759130617,0.8220074494597345,0.07246353677333635,P3,0.6170446952197789,1295
inference::fusion_branch,cDC1,8,0.9772463399331017,0.02398663255501948,0.9571930132826009,0.9972996665836026,0.020053326650500827,P2,0.9333333333333332,151
inference::fusion_branch,cDC2_1,8,0.7044957568257537,0.055620414503545504,0.6579959266425275,0.75099558700898,0.04649983018322623,P6,0.6202764976958526,772
inference::fusion_branch,cDC2_2,8,0.9307527760259358,0.016325813118534885,0.9171040546995859,0.9444014973522856,0.013648721326349833,P6,0.910766329157228,1729
inference::fusion_branch,dnT_1,8,0.5509731985871062,0.2126479419970023,0.3731950701799036,0.7287513269943089,0.1777781284072026,P5,0.09523809523809523,189
inference::fusion_branch,dnT_2,8,0.9034991920621225,0.06931244576259156,0.8455525372895455,0.9614458468346995,0.057946654772576996,P5,0.7777777777777777,167
inference::fusion_branch,gdT_1,8,0.9517014629149512,0.03491357082537961,0.9225129872633232,0.9808899385665791,0.029188475651627976,P1,0.8938167096061833,1633
inference::fusion_branch,gdT_2,8,0.41838624957567633,0.38493471084331976,0.09657277792845104,0.7401997212229017,0.3218134716472253,P1,0.0,769
inference::fusion_branch,gdT_3,8,0.9106169954819572,0.029486797259912843,0.8859654160668889,0.9352685748970254,0.02465157941506828,P3,0.8486772486772486,724
inference::fusion_branch,gdT_4,8,0.7103237563923935,0.07942300465969605,0.64392446285455,0.7767230499302371,0.0663992935378436,P5,0.5789689060129312,523
inference::fusion_branch,pDC,8,0.996085000500726,0.002919448211174113,0.9936442807171713,0.9985257202842808,0.002440719783554764,P1,0.9912021942762511,861
inference::margin_gate,ASDC_mDC,8,0.7667223707664883,0.2425421238342521,0.5639520809144983,0.9694926606184783,0.20277028985198997,P8,0.2222222222222222,40
inference::margin_gate,ASDC_pDC,8,0.7905141223155929,0.13058432629889058,0.6813428935196919,0.899685351111494,0.10917122879590097,P1,0.6309523809523809,36
