seed,class_label,modality,donor_a,donor_b,n_shared_features,spearman,top_k,top_k_jaccard
41,CD8 TCM_1,ADT,P2,P6,224,0.5493316250266924,20,0.5384615384615384
41,CD8 TCM_1,ADT,P2,P7,224,0.5619613495622465,20,0.42857142857142855
41,CD8 TCM_1,ADT,P2,P8,224,0.5219474695707881,20,0.42857142857142855
41,CD8 TCM_1,ADT,P3,P4,224,0.6627695921417895,20,0.6
41,CD8 TCM_1,ADT,P3,P5,224,0.5287241084774718,20,0.48148148148148145
41,CD8 TCM_1,ADT,P3,P6,224,0.5066591928251122,20,0.3793103448275862
41,CD8 TCM_1,ADT,P3,P7,224,0.4857281657057443,20,0.48148148148148145
41,CD8 TCM_1,ADT,P3,P8,224,0.49753149690369425,20,0.42857142857142855
41,CD8 TCM_1,ADT,P4,P5,224,0.5338330130258382,20,0.6
41,CD8 TCM_1,ADT,P4,P6,224,0.494935938500961,20,0.6
41,CD8 TCM_1,ADT,P4,P7,224,0.49428251121076244,20,0.3793103448275862
41,CD8 TCM_1,ADT,P4,P8,224,0.4461936792654282,20,0.48148148148148145
41,CD8 TCM_1,ADT,P5,P6,224,0.7193209481101859,20,0.6
41,CD8 TCM_1,ADT,P5,P7,224,0.6756085842408713,20,0.42857142857142855
41,CD8 TCM_1,ADT,P5,P8,224,0.6645665171898357,20,0.5384615384615384
41,CD8 TCM_1,ADT,P6,P7,224,0.7162534699978647,20,0.42857142857142855
41,CD8 TCM_1,ADT,P6,P8,224,0.6615492205850951,20,0.6666666666666666
41,CD8 TCM_1,ADT,P7,P8,224,0.6857591287636132,20,0.6
42,CD4 TEM_3,RNA,P1,P2,2945,0.7820135745628444,20,0.42857142857142855
42,CD4 TEM_3,RNA,P1,P3,2934,0.7290642311842856,20,0.42857142857142855
42,CD4 TEM_3,RNA,P1,P4,2905,0.7508552727744201,20,0.42857142857142855
42,CD4 TEM_3,RNA,P1,P5,2870,0.7683390725898128,20,0.5384615384615384
42,CD4 TEM_3,RNA,P1,P6,2823,0.7507537495996632,20,0.48148148148148145
42,CD4 TEM_3,RNA,P1,P7,2787,0.7532953616114734,20,0.42857142857142855
42,CD4 TEM_3,RNA,P1,P8,2903,0.7671577856041167,20,0.5384615384615384
42,CD4 TEM_3,RNA,P2,P3,2963,0.7303936982436241,20,0.42857142857142855
42,CD4 TEM_3,RNA,P2,P4,2923,0.7389522172771483,20,0.3793103448275862
42,CD4 TEM_3,RNA,P2,P5,2894,0.7338364211776633,20,0.42857142857142855
42,CD4 TEM_3,RNA,P2,P6,2850,0.7189560399809806,20,0.3793103448275862
42,CD4 TEM_3,RNA,P2,P7,2817,0.7262499835950803,20,0.3793103448275862
42,CD4 TEM_3,RNA,P2,P8,2880,0.7121070797293452,20,0.3793103448275862
42,CD4 TEM_3,RNA,P3,P4,2932,0.7819748012764629,20,0.48148148148148145
42,CD4 TEM_3,RNA,P3,P5,2889,0.7039378911032772,20,0.42857142857142855
42,CD4 TEM_3,RNA,P3,P6,2854,0.7064555261488806,20,0.5384615384615384
42,CD4 TEM_3,RNA,P3,P7,2823,0.7097853153048298,20,0.6
42,CD4 TEM_3,RNA,P3,P8,2889,0.6942273402873509,20,0.42857142857142855
42,CD4 TEM_3,RNA,P4,P5,2932,0.7724841434804733,20,0.3793103448275862
42,CD4 TEM_3,RNA,P4,P6,2841,0.7458888238215662,20,0.48148148148148145
42,CD4 TEM_3,RNA,P4,P7,2809,0.7631494679788229,20,0.42857142857142855
42,CD4 TEM_3,RNA,P4,P8,2870,0.7276479179440594,20,0.3793103448275862
42,CD4 TEM_3,RNA,P5,P6,2856,0.8053580329165836,20,0.48148148148148145
42,CD4 TEM_3,RNA,P5,P7,2795,0.7726221539132913,20,0.42857142857142855
42,CD4 TEM_3,RNA,P5,P8,2840,0.7516094176769306,20,0.42857142857142855
42,CD4 TEM_3,RNA,P6,P7,2868,0.7920971939057051,20,0.6
42,CD4 TEM_3,RNA,P6,P8,2801,0.723793161424999,20,0.48148148148148145
42,CD4 TEM_3,RNA,P7,P8,2831,0.7737433547383182,20,0.48148148148148145
42,CD4 TEM_3,ADT,P1,P2,224,0.6892942558189196,20,0.6666666666666666
42,CD4 TEM_3,ADT,P1,P3,224,0.6382297672432203,20,0.6
42,CD4 TEM_3,ADT,P1,P4,224,0.6000918214819561,20,0.6
42,CD4 TEM_3,ADT,P1,P5,224,0.4707975656630366,20,0.6
42,CD4 TEM_3,ADT,P1,P6,224,0.47115417467435416,20,0.42857142857142855
42,CD4 TEM_3,ADT,P1,P7,224,0.4495077941490498,20,0.3333333333333333
42,CD4 TEM_3,ADT,P1,P8,224,0.4805968396327141,20,0.3793103448275862
42,CD4 TEM_3,ADT,P2,P3,224,0.5930568011958147,20,0.6666666666666666
42,CD4 TEM_3,ADT,P2,P4,224,0.5973286354900705,20,0.5384615384615384
42,CD4 TEM_3,ADT,P2,P5,224,0.506562032884903,20,0.48148148148148145
