test_donor,seed,scenario,mask_fraction,n_masked_proteins,mask_seed,mask_source,n_test,accuracy,weighted_f1,macro_f1,balanced_accuracy,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_balanced_accuracy,delta_balanced_accuracy,full_ece,delta_ece,full_brier,delta_brier
P1,42,full,0.0,0,,legacy_v33_deterministic_feature_mask,18135,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.8421003772603008,0.08268834019343255,0.1501840054988861,0.9109456851392336,0.0,0.9118077587062279,0.0,0.8080714372301046,0.0,0.8421003772603008,0.0,0.08268834019343255,0.0,0.1501840054988861,0.0
P1,42,random_10,0.1,22,331421,legacy_v33_deterministic_feature_mask,18135,0.9064791838985388,0.907540442486533,0.8127250758495561,0.8372472114994995,0.08406563890039477,0.15823066234588623,0.9109456851392336,-0.004466501240694809,0.9118077587062279,-0.004267316219694894,0.8080714372301046,0.004653638619451561,0.8421003772603008,-0.0048531657608013035,0.08268834019343255,0.001377298706962224,0.1501840054988861,0.008046656847000122
P1,42,random_30,0.3,67,331423,legacy_v33_deterministic_feature_mask,18135,0.9014061207609595,0.9019435885100685,0.8107329933398042,0.8281006486197157,0.08495800503775341,0.16555945575237274,0.9109456851392336,-0.009539564378274079,0.9118077587062279,-0.009864170196159372,0.8080714372301046,0.0026615561096996476,0.8421003772603008,-0.013999728640585185,0.08268834019343255,0.002269664844320868,0.1501840054988861,0.015375450253486633
P1,42,random_50,0.5,112,331425,legacy_v33_deterministic_feature_mask,18135,0.8950096498483595,0.8950296277701358,0.7777904072690206,0.8088340490676346,0.10015720694862779,0.1748543530702591,0.9109456851392336,-0.015936035290874062,0.9118077587062279,-0.01677813093609204,0.8080714372301046,-0.03028102996108395,0.8421003772603008,-0.033266328192666283,0.08268834019343255,0.01746886675519524,0.1501840054988861,0.024670347571372986
P1,42,random_70,0.7,157,331427,legacy_v33_deterministic_feature_mask,18135,0.8824372759856631,0.8830902088599616,0.7609582832985027,0.7888759347916546,0.10816514022814724,0.1975371241569519,0.9109456851392336,-0.028508409153570446,0.9118077587062279,-0.028717549846266288,0.8080714372301046,-0.04711315393160187,0.8421003772603008,-0.053224442468646216,0.08268834019343255,0.025476800034714697,0.1501840054988861,0.047353118658065796
P1,42,marker_memory,,6,,legacy_v33_deterministic_feature_mask,18135,0.9069203198235456,0.9076335894773443,0.8051116450954979,0.8378783420648009,0.09007709743005698,0.15778745710849762,0.9109456851392336,-0.004025365315687979,0.9118077587062279,-0.004174169228883584,0.8080714372301046,-0.0029597921346066203,0.8421003772603008,-0.004222035195499907,0.08268834019343255,0.007388757236624438,0.1501840054988861,0.007603451609611511
P1,42,marker_tcell,,15,,legacy_v33_deterministic_feature_mask,18135,0.8955610697546181,0.897371986280968,0.7687591021240647,0.8112093228813544,0.0939828585754224,0.1760304719209671,0.9109456851392336,-0.015384615384615441,0.9118077587062279,-0.01443577242525984,0.8080714372301046,-0.03931233510603982,0.8421003772603008,-0.03089105437894646,0.08268834019343255,0.01129451838198986,0.1501840054988861,0.025846466422080994
P1,42,rna_only,1.0,224,,legacy_v33_deterministic_feature_mask,18135,0.8781362007168458,0.8793368419709318,0.7522110482720722,0.7797077915705047,0.1453128660176291,0.2143065631389618,0.9109456851392336,-0.032809484422387736,0.9118077587062279,-0.03247091673529612,0.8080714372301046,-0.05586038895803236,0.8421003772603008,-0.06239258568979611,0.08268834019343255,0.06262452582419656,0.1501840054988861,0.06412255764007568
P1,42,random_size_matched_6,0.026785714285714284,6,821421,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9101736972704715,0.9110595925950604,0.8051703910531447,0.8401154080554438,0.08504274342304621,0.15164968371391296,0.9109456851392336,-0.0007719878687620918,0.9118077587062279,-0.0007481661111674587,0.8080714372301046,-0.002901046176959854,0.8421003772603008,-0.0019849692048570233,0.08268834019343255,0.0023544032296136663,0.1501840054988861,0.0014656782150268555
P1,42,random_size_matched_15,0.06696428571428571,15,821422,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9097877033360904,0.910847483768855,0.7990307877030732,0.8334136900931164,0.09130445710055453,0.15450944006443024,0.9109456851392336,-0.0011579818031431932,0.9118077587062279,-0.0009602749373728292,0.8080714372301046,-0.00904064952703132,0.8421003772603008,-0.00868668716718446,0.08268834019343255,0.008616116907121982,0.1501840054988861,0.004325434565544128
P1,43,full,0.0,0,,legacy_v33_deterministic_feature_mask,18135,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.8229930596221171,0.06891235818966776,0.15708790719509125,0.9112213950923629,0.0,0.9103885162635358,0.0,0.8082371266317265,0.0,0.8229930596221171,0.0,0.06891235818966776,0.0,0.15708790719509125,0.0
P1,43,random_10,0.1,22,331431,legacy_v33_deterministic_feature_mask,18135,0.9071960297766749,0.9060265182219692,0.7974256342422542,0.8093535012733981,0.06947722827020938,0.1651335209608078,0.9112213950923629,-0.004025365315687979,0.9103885162635358,-0.004361998041566562,0.8082371266317265,-0.010811492389472321,0.8229930596221171,-0.013639558348718994,0.06891235818966776,0.000564870080541624,0.15708790719509125,0.008045613765716553
